artifact_id,artifact_type,title,source_paths,source_hashes,status
T01,TABLE,"Dataset, subjects, modalities and feature statistics",E:\hdc-vr-pilot\experiments\phase_03_multimodal_dataset_labeling\manifests\dataset_manifest.json,6f1c7442ab7b0a291df6ce445246e3ce8715c6eac1b0b63fd5795d768db25b7f,AUTHORIZED_NOT_EXECUTED
T02,TABLE,Traditional classification model comparison,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\phase04a_final_classifier_comparison.csv;E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\results\summaries\classification_baseline_summary.csv,27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084;27f331244a6e8fd18652b5c3aed4bd05d976f0662947e337cd591e27831c1084,AUTHORIZED_NOT_EXECUTED
T03,TABLE,Traditional regression model comparison,E:\hdc-vr-pilot\experiments\phase_04b_traditional_regression_baselines\results\summaries\phase04b_final_regressor_comparison.csv,b8bb4e8b4323a2f5234ed3f4f4a5a84a831158c17ebb0be4b050e0b729f50f3c,AUTHORIZED_NOT_EXECUTED
T04,TABLE,Four HDC variants and regression-head comparison,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_final_hdc_variant_comparison.csv;E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_hdc_regression_head_comparison.csv,a5b0b03b71ab8ff9389ac6afeed7d244f7b480f2dcc267e55eaf32dc0cac1a98;8b7ef9195b848eb384f329b9c5d438472bd0ceb0cf870e1a884c9b7ec4fbc06f,AUTHORIZED_NOT_EXECUTED
T05,TABLE,Frozen best dual-task HDC configuration,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\reports\phase06_final_summary.md,d2318fd59cf248f50e4de1ad57489d46849bf1f02b9f4b39619265c8a511a71d,AUTHORIZED_NOT_EXECUTED
T06,TABLE,Best HDC versus traditional baselines,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_vs_phase04a_classification_comparison.csv;E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\phase05_vs_phase04b_regression_comparison.csv,95a969587293808d67f2f6ca99608167bea055bbf864c22ca96bcc94e738c7f1;beaf215f89115cba7177de33569b7d9eb9ce75a588d56df8e62f8f42c5d59d71,AUTHORIZED_NOT_EXECUTED
T07,TABLE,Unimodal classification and regression contribution,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_classification_comparison.csv;E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_unimodal_regression_comparison.csv,5e2314acea52f893d2dea3ce34cb15fc385c61c398d958a49da1f375edcfe648;0a710c1b30fa728d63a87f7cb2d3fbf0081a28d0283d447fe6c6575097e67b4b,AUTHORIZED_NOT_EXECUTED
T08,TABLE,Multimodal fusion results,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_fusion_condition_comparison.csv;E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_fusion_increment_analysis.csv,03c90b6b1ad614cce37fb9f88ef7373ac19c63eb08bfce9bf8aadc1a0fc4d7f8;31e57e71a0da80697655b376c1b09926480747415ff9f78447120d4903c661fc,AUTHORIZED_NOT_EXECUTED
T09,TABLE,Performance shortcut analysis,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_shortcut_evidence_matrix.csv;E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_flight_behavioral_sensitivity.csv,8fb420a6ab0635d64827b6e4439526b16a922ceef4572b46982488d49e4231e6;0b1859577077856cddafa2292af81cfdb1915a76139fef9e1a869c32e794835e,AUTHORIZED_NOT_EXECUTED
T10,TABLE,Missing-modality robustness,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_missing_modality_robustness.csv;E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\results\summaries\phase09_missing_modality_deltas.csv,1b418d247dcb51b6d24e3f1f10f93169fdf62f1ffb193d023b4d236dbb89feff;0ec5aaae39c0813f404e0d23c31e2cc5e678e6645b29d4000ebedaea7ffb9d26,AUTHORIZED_NOT_EXECUTED
