file_path,relative_path,file_name,run_key,subject_id,session_id,run_id,difficulty_level,detected_modality,extracted_modality,source_tag,row_count,numeric_column_count,feature_count,status
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,eye_tracking,eye_tracking,lslhtcviveeye,1,26,393,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,ecg,ecg,lslshimmerecg,269979,3,57,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,eda,eda,lslshimmereda,68412,2,44,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,emg,emg,lslshimmeremg,271951,5,84,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,respiration,respiration,lslshimmerresp,269979,1,32,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-01B_run-001.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-01B_run-001.csv,sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-01B_run-001.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,performance,performance,perfmetric,1616,4,55,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,xplane,xplane,lslxp11xpcac,2407,18,328,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,head_movement,head_movement,lslxp11xpcplt,2407,6,159,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-007\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv,sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,ses-20210206,run-007,level-01B,eye_tracking,eye_tracking,lslhtcviveeye,1,26,393,processed
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-007\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-007_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-007_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-007_dat.csv,sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,ses-20210206,run-007,level-01B,ecg,ecg,lslshimmerecg,237732,3,57,processed
