table_id,category,source_phase,paper_section,task,metrics,source_count,candidate_descriptor,exact_source_copies,frozen_status
T01,"Dataset, subjects, modalities and feature statistics",03,Methods/Data,descriptive,registered task metrics,1,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t01__candidate_table_sources.md,0,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T02,Traditional classification model comparison,04A,Results/Baselines,classification,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t02__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T03,Traditional regression model comparison,04B,Results/Baselines,regression,registered task metrics,1,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t03__candidate_table_sources.md,1,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T04,Four HDC variants and regression-head comparison,06,Results/HDC,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t04__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T05,Frozen best dual-task HDC configuration,06,Results/HDC,dual_task,registered task metrics,1,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t05__candidate_table_sources.md,0,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T06,Best HDC versus traditional baselines,05,Results/Comparison,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t06__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T07,Unimodal classification and regression contribution,07,Results/Modality,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t07__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T08,Multimodal fusion results,08,Results/Fusion,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t08__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T09,Performance shortcut analysis,08,Results/Shortcut,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t09__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T10,Missing-modality robustness,09,Results/Robustness,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t10__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T11,35-subject LOSO stability,09,Results/Generalization,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t11__candidate_table_sources.md,2,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T12,Primary statistical tests and effect sizes,07;08,Results/Statistics,dual_task,registered task metrics,4,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t12__candidate_table_sources.md,4,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T13,RQ-evidence-conclusion summary,10,Discussion/Synthesis,dual_task,registered task metrics,1,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t13__candidate_table_sources.md,1,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
T14,Generalization scope and limitations,08;09,Discussion/Limitations,dual_task,registered task metrics,2,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\reports\paper_tables\t14__candidate_table_sources.md,1,FROZEN_SOURCES_VERIFIED_NO_RECOMPUTATION
