file_path,relative_path,file_name,extension,file_size_mb,subject_id,session_id,difficulty_level,run_id,run_key,detected_modality,modality_detection_method,is_readable,read_error,row_count_if_csv,column_count_if_csv,first_columns_if_csv,mat_keys_if_mat
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-01B_run-001\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp004/ses-20210330/level-01B_run-001/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-001_dat.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-001_dat.csv,csv,4.946678,sub-cp004,ses-20210330,level-01B,run-001,sub-cp004_ses-20210330_level-01B_run-001,unknown,unclassified_filename,True,,65818,4,"[""time_dn"", ""accelerometry_torso_x_mps2"", ""accelerometry_torso_y_mps2"", ""accelerometry_torso_z_mps2""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-01B_run-001\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-001_hea.csv,task-ils/sub-cp004/ses-20210330/level-01B_run-001/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-001_hea.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-001_hea.csv,csv,8.8e-05,sub-cp004,ses-20210330,level-01B,run-001,sub-cp004_ses-20210330_level-01B_run-001,unknown,unclassified_filename,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-01B_run-007\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-007_dat.csv,task-ils/sub-cp004/ses-20210330/level-01B_run-007/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-007_dat.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-007_dat.csv,csv,3.934488,sub-cp004,ses-20210330,level-01B,run-007,sub-cp004_ses-20210330_level-01B_run-007,unknown,unclassified_filename,True,,52878,4,"[""time_dn"", ""accelerometry_torso_x_mps2"", ""accelerometry_torso_y_mps2"", ""accelerometry_torso_z_mps2""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-01B_run-007\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-007_hea.csv,task-ils/sub-cp004/ses-20210330/level-01B_run-007/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-007_hea.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-007_hea.csv,csv,8.8e-05,sub-cp004,ses-20210330,level-01B,run-007,sub-cp004_ses-20210330_level-01B_run-007,unknown,unclassified_filename,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-01B_run-012\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-012_dat.csv,task-ils/sub-cp004/ses-20210330/level-01B_run-012/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-012_dat.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-012_dat.csv,csv,3.929519,sub-cp004,ses-20210330,level-01B,run-012,sub-cp004_ses-20210330_level-01B_run-012,unknown,unclassified_filename,True,,52716,4,"[""time_dn"", ""accelerometry_torso_x_mps2"", ""accelerometry_torso_y_mps2"", ""accelerometry_torso_z_mps2""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-01B_run-012\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-012_hea.csv,task-ils/sub-cp004/ses-20210330/level-01B_run-012/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-012_hea.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-01B_run-012_hea.csv,csv,8.6e-05,sub-cp004,ses-20210330,level-01B,run-012,sub-cp004_ses-20210330_level-01B_run-012,unknown,unclassified_filename,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-02B_run-003\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-003_dat.csv,task-ils/sub-cp004/ses-20210330/level-02B_run-003/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-003_dat.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-003_dat.csv,csv,4.185409,sub-cp004,ses-20210330,level-02B,run-003,sub-cp004_ses-20210330_level-02B_run-003,unknown,unclassified_filename,True,,56255,4,"[""time_dn"", ""accelerometry_torso_x_mps2"", ""accelerometry_torso_y_mps2"", ""accelerometry_torso_z_mps2""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-02B_run-003\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-003_hea.csv,task-ils/sub-cp004/ses-20210330/level-02B_run-003/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-003_hea.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-003_hea.csv,csv,8.7e-05,sub-cp004,ses-20210330,level-02B,run-003,sub-cp004_ses-20210330_level-02B_run-003,unknown,unclassified_filename,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-02B_run-008\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-008_dat.csv,task-ils/sub-cp004/ses-20210330/level-02B_run-008/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-008_dat.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-008_dat.csv,csv,4.174494,sub-cp004,ses-20210330,level-02B,run-008,sub-cp004_ses-20210330_level-02B_run-008,unknown,unclassified_filename,True,,55999,4,"[""time_dn"", ""accelerometry_torso_x_mps2"", ""accelerometry_torso_y_mps2"", ""accelerometry_torso_z_mps2""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp004\ses-20210330\level-02B_run-008\sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-008_hea.csv,task-ils/sub-cp004/ses-20210330/level-02B_run-008/sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-008_hea.csv,sub-cp004_ses-20210330_task-ils_stream-lslshimmertorsoacc_feat-chunk_level-02B_run-008_hea.csv,csv,8.8e-05,sub-cp004,ses-20210330,level-02B,run-008,sub-cp004_ses-20210330_level-02B_run-008,unknown,unclassified_filename,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
