feature_name,modality,source_provenance,reason_if_identifiable,decision
eye_lslhtcviveeye_convergence_distance_mm_kurtosis,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_convergence_distance_mm_skew,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_convergence_distance_validity_kurtosis,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_convergence_distance_validity_skew,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_pupil_position_l_x_kurtosis,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=pupil_position_l_x,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_pupil_position_l_x_skew,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=pupil_position_l_x,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_validity_l_kurtosis,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=validity_l,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_validity_l_skew,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=validity_l,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_validity_r_kurtosis,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=validity_r,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
eye_lslhtcviveeye_validity_r_skew,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=validity_r,The Phase 02 extractor returns NaN when skew/kurtosis sample-size or non-zero-variance preconditions fail; the saved provenance does not retain which precondition failed per run.,STRUCTURALLY_UNUSABLE
