figure_id,source_phase,scientific_question,source_path,format,source_sha256,caption_draft,paper_section,frozen_status
PF-001,04A,Multimodal fusion effect,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\best_traditional_classifier_confusion_matrix.pdf,pdf,f6e8a02b03a82cef76f8e869f81e8d2677540fa955b3fcb9501d10ee3b8f4e26,Frozen Phase 04A artifact for multimodal fusion effect; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-002,04A,Multimodal fusion effect,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\best_traditional_classifier_confusion_matrix.png,png,dca9792ddf7818e76796dedd9df8dbea61c6d1fffc45caf558ba76a17e768ed9,Frozen Phase 04A artifact for multimodal fusion effect; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-003,04A,Classification performance,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\classification_baseline_comparison.pdf,pdf,02cb8af4f6599d8d9882a20b006523038b11e36fd644d2ca526bab2028b57d85,Frozen Phase 04A artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-004,04A,Classification performance,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\classification_baseline_comparison.png,png,ef14024e051f940f45278d95d89ab6ee182e393df89270b2b8ffb3aef8a19e31,Frozen Phase 04A artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-005,04A,Multimodal fusion effect,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\gradient_boosting_fold_4_confusion_matrix.png,png,e3b8ff96c799827796a10026fa15dea56fb5e2d059a84d6cb539d20503b65af1,Frozen Phase 04A artifact for multimodal fusion effect; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-006,04A,Multimodal fusion effect,E:\hdc-vr-pilot\experiments\phase_04a_traditional_classification_baselines\figures\gradient_boosting_fold_5_confusion_matrix.png,png,b97f8aa506f93117179396f226c80e8bfcf26232e8c688eed2bd1dc516eebd68,Frozen Phase 04A artifact for multimodal fusion effect; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-007,05,Performance-efficiency trade-off,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_accuracy_efficiency_tradeoff.pdf,pdf,6c0c66c6c169aed3d15051b7b9cacd720676b95b6cfbd07be57a7acc9946b2e7,Frozen Phase 05 artifact for performance-efficiency trade-off; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-008,05,Performance-efficiency trade-off,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_accuracy_efficiency_tradeoff.png,png,5fe905d6bfce3e4c75dc7bc0831f4723c75d2db27f1bdb3aa2dad59b59885878,Frozen Phase 05 artifact for performance-efficiency trade-off; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-009,05,Classification performance,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_classification_macro_f1_vs_dimension.pdf,pdf,f7bf4c48975d99b463de05b91638fb9ae46516ece295cc0278b51cbd8e48da11,Frozen Phase 05 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
PF-010,05,Classification performance,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\figures\phase05_classification_macro_f1_vs_dimension.png,png,31a84b400619b1436e35e798a7cc40a8327052455552fb4cc61c751244728872,Frozen Phase 05 artifact for classification performance; interpretation is limited to the registered protocol and source data.,Results,FROZEN_SOURCE_VERIFIED
