subject_id,session_id,run_id,run_key,difficulty_level,modality,phase01_availability_status,phase02_feature_presence_status,reason_for_mismatch,affected_feature_count,signal_derived_feature_count,generic_modality_metadata_feature_count,non_null_feature_count_before,signal_non_null_values_masked,generic_stream_metadata_values_masked,non_null_feature_count_after,repair_action,minimal_regeneration_performed,regenerated_feature_count
sub-cp003,ses-20210206,run-001,sub-cp003_ses-20210206_level-000_run-001,level-000,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-rest/sub-cp003/ses-20210206/level-000_run-001/sub-cp003_ses-20210206_task-rest_stream-lslhtcviveeye_feat-chunk_level-000_run-001_hea.csv:NaN | invalid_sample_count:task-rest/sub-cp003/ses-20210206/level-000_run-001/sub-cp003_ses-20210206_task-rest_stream-lslhtcviveeye_feat-chunk_level-000_run-001_hea.csv:0 | placeholder_data_with_zero_samples:task-rest/sub-cp003/ses-20210206/level-000_run-001/sub-cp003_ses-20210206_task-rest_stream-lslhtcviveeye_feat-chunk_level-000_run-001_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-002,sub-cp003_ses-20210206_level-000_run-002,level-000,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslhtcviveeye_feat-chunk_level-000_run-002_hea.csv:NaN | invalid_sample_count:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslhtcviveeye_feat-chunk_level-000_run-002_hea.csv:0 | placeholder_data_with_zero_samples:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslhtcviveeye_feat-chunk_level-000_run-002_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-002,sub-cp003_ses-20210206_level-000_run-002,level-000,head_movement,UNAVAILABLE_FALSE,PRESENT_NON_NULL:73,invalid_sample_count:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslxp11xpcplt_feat-chunk_level-000_run-002_hea.csv:0 | placeholder_data_with_zero_samples:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslxp11xpcplt_feat-chunk_level-000_run-002_dat.csv,159,156,3,73,72,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-002,sub-cp003_ses-20210206_level-000_run-002,level-000,xplane,UNAVAILABLE_FALSE,PRESENT_NON_NULL:251,invalid_sample_count:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslxp11xpcac_feat-chunk_level-000_run-002_hea.csv:0 | placeholder_data_with_zero_samples:task-rest/sub-cp003/ses-20210206/level-000_run-002/sub-cp003_ses-20210206_task-rest_stream-lslxp11xpcac_feat-chunk_level-000_run-002_dat.csv,328,325,3,251,250,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-001,sub-cp003_ses-20210206_level-01B_run-001,level-01B,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-007,sub-cp003_ses-20210206_level-01B_run-007,level-01B,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-012,sub-cp003_ses-20210206_level-01B_run-012,level-01B,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-003,sub-cp003_ses-20210206_level-02B_run-003,level-02B,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-008,sub-cp003_ses-20210206_level-02B_run-008,level-02B,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
sub-cp003,ses-20210206,run-010,sub-cp003_ses-20210206_level-02B_run-010,level-02B,eye_tracking,UNAVAILABLE_FALSE,PRESENT_NON_NULL:301,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_dat.csv,426,423,3,301,300,1,0,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,False,0
