artifact_id,source_phase,source_path,source_sha256,analysis_family,task,metric,statistical_unit,sample_size,test,correction,effect_size,bootstrap_iterations,paper_role,destination,included,exclusion_reason,frozen_status
STAT-001,05,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\summaries\vanilla_hdc_seed_stability_summary.json,72b73f75a5b25c6ec2027c2a0619819ff1d462ab61f173c92237d61a4b387571,stability,dual_or_documented,multiple_registered_metrics,seed_descriptive_only_not_inferential,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-002,06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\summaries\phase06_dimension_and_seed_stability.json,c89f96026557bc6ea1456110722cc3386f141f0b4af3f8da5b94208bc8ae80f2,stability,dual_or_documented,multiple_registered_metrics,seed_descriptive_only_not_inferential,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-003,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_bootstrap_confidence_intervals.csv,b9c3e712339121cca3c6b1aa5507a1e4efd07b941456602a5eb945d9e38a6828,confidence_intervals,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,2000,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/confidence_intervals,True,,FROZEN_READ_ONLY_VERIFIED
STAT-004,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_effect_sizes.csv,006e1060181389b5ce90ac6b2132fb694ca7295acb84b38c6047efe6b985f845,effect_sizes,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,rank-biserial,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/effect_sizes,True,,FROZEN_READ_ONLY_VERIFIED
STAT-005,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_friedman_tests.csv,3519923ba9863a9d40f173ca5498d22ee736af569eac08db8f2de01f246b52f4,omnibus_tests,dual_or_documented,multiple_registered_metrics,subject_id,35,Friedman,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/omnibus_tests,True,,FROZEN_READ_ONLY_VERIFIED
STAT-006,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_seed_stability_summary.csv,9bb02571cdf9962ca2e72e2ac79c82059e613ccd279e201c433a5711acb86499,stability,dual_or_documented,multiple_registered_metrics,seed_descriptive_only_not_inferential,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/stability,True,,FROZEN_READ_ONLY_VERIFIED
STAT-007,07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\results\summaries\phase07_wilcoxon_holm_tests.csv,2b0bca9c0052b0c6b850adf0d221d0079f322400d044345b58ae1d7497619f1a,pairwise_tests,dual_or_documented,multiple_registered_metrics,subject_id,35,Wilcoxon signed-rank,Holm,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/pairwise_tests,True,,FROZEN_READ_ONLY_VERIFIED
STAT-008,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_bootstrap_confidence_intervals.csv,345cfe7351dac7ce596d897b990569947c4b1f698ac25b3fea984785b0e7ac5f,confidence_intervals,dual_or_documented,multiple_registered_metrics,subject_id,35,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,2000,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/confidence_intervals,True,,FROZEN_READ_ONLY_VERIFIED
STAT-009,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_flight_behavioral_sensitivity.csv,0b1859577077856cddafa2292af81cfdb1915a76139fef9e1a869c32e794835e,shortcut_analysis,dual_or_documented,multiple_registered_metrics,subject_id_or_descriptive_as_documented,DOCUMENTED_IN_SOURCE,DESCRIPTIVE_OR_DOCUMENTED,as_documented_in_source,NOT_APPLICABLE_OR_DOCUMENTED,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/shortcut_analysis,True,,FROZEN_READ_ONLY_VERIFIED
STAT-010,08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\results\summaries\phase08_pairwise_statistics.csv,77200f498f10440c210be478bb700d52248f16c9633035fe8c7dd677224a51a0,pairwise_tests,dual_or_documented,multiple_registered_metrics,subject_id,35,Wilcoxon signed-rank,Holm,rank-biserial,NOT_APPLICABLE_OR_DOCUMENTED,FINAL_STATISTICAL_EVIDENCE_INDEX_ONLY,final_statistics_bundle/pairwise_tests,True,,FROZEN_READ_ONLY_VERIFIED
