category,run_key,item,existing_value,verified_value,severity,evidence
run_modality,sub-cp003_ses-20210206_level-000_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-000_run-002,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-000_run-002,has_head_movement,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-000_run-002,has_xplane,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-01B_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-01B_run-007,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-01B_run-012,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-02B_run-003,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-02B_run-008,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-02B_run-010,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-03B_run-002,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-03B_run-005,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-03B_run-011,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-04B_run-004,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-04B_run-006,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp003_ses-20210206_level-04B_run-009,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-000_run-001,has_ecg,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-000_run-001,has_eda,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-000_run-001,has_respiration,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-01B_run-001,has_ecg,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-01B_run-001,has_eda,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-01B_run-001,has_respiration,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-02B_run-003,has_ecg,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-02B_run-003,has_eda,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-02B_run-003,has_respiration,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-03B_run-002,has_ecg,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-03B_run-002,has_eda,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-03B_run-002,has_respiration,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-04B_run-004,has_ecg,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-04B_run-004,has_eda,True,False,high,No qualifying content evidence.
run_modality,sub-cp009_ses-20210129_level-04B_run-004,has_respiration,True,False,high,No qualifying content evidence.
run_modality,sub-cp026_ses-20210716_level-000_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp027_ses-20210722_level-000_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp027_ses-20210722_level-01B_run-001,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp027_ses-20210722_level-03B_run-002,has_eye_tracking,True,False,high,No qualifying content evidence.
run_modality,sub-cp028_ses-20211214_level-000_run-002,has_emg,True,False,high,No qualifying content evidence.
run_modality,sub-cp028_ses-20211214_level-01B_run-012,has_emg,True,False,high,No qualifying content evidence.
run_modality,sub-cp042_ses-20220111_level-000_run-001,has_emg,True,False,high,No qualifying content evidence.
modality_label,,lslshimmertorsoacc classification,unknown (908 files including data and metadata pairs),torso_body_accelerometer (454 data files with explicit torso acceleration columns),medium,DataDictionary.pdf section 'Stream: ACC' and accelerometry_torso_x/y/z_mps2 CSV columns.
missing_run_directory,sub-cp009_ses-20210129_level-000_run-002,raw_run_directory,not explicitly reported,absent,high,No directory exists for this task/run; absent relative to the repeated schedule.
missing_run_directory,sub-cp030_ses-20211025_level-03B_run-005,raw_run_directory,not explicitly reported,absent,high,No directory exists for this task/run; absent relative to the repeated schedule.
missing_run_directory,sub-cp031_ses-20211216_level-01B_run-012,raw_run_directory,not explicitly reported,absent,medium,"Expected difficulty/run combination is absent, but the same task/run exists under another difficulty."
missing_run_directory,sub-cp036_ses-20211218_level-000_run-002,raw_run_directory,not explicitly reported,absent,high,No directory exists for this task/run; absent relative to the repeated schedule.
schedule_identifier,sub-cp031_ses-20211216_level-02B_run-012,difficulty_level/run_id mapping,accepted as-is,unexpected but internally consistent,medium,"Directory, filenames, per-run performance file, and PerfMetrics.csv all identify run 012 as difficulty 2 for cp031."
run_modality_availability,sub-cp003_ses-20210206_level-01B_run-001,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-01B_run-007,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-01B_run-012,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-02B_run-003,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-02B_run-008,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-02B_run-010,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-03B_run-002,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-002_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-002_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-002_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-03B_run-005,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-005_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-005_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-005_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-03B_run-011,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-011_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-011_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-011_dat.csv
run_modality_availability,sub-cp003_ses-20210206_level-04B_run-004,eye_tracking,phase02_extracted=True,phase01_content_verified=False,high,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-04B_run-004_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-04B_run-004_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-04B_run-004_dat.csv
